X,Y,Z,Z_SV
596.99,370.85,1192.6426804123712,1222.9
596.84,371.03,1192.6426804123712,1222.9
596.7,369.97,1192.4476288659794,1222.7
596.74,369.26,1192.2525773195875,1222.5
597.0,367.73,1192.0575257731957,1222.3
596.97,366.95,1191.5698969072164,1221.8
596.99,366.22,1191.2773195876289,1221.5
596.87,365.62,1190.6921649484536,1220.9
596.78,364.77,1190.2045360824743,1220.4
596.82,363.45,1189.716907216495,1219.9
596.66,362.98,1189.2292783505154,1219.4
596.63,362.14,1188.741649484536,1218.9
596.61,362.09,1188.4490721649483,1218.6
596.66,361.39,1188.3515463917524,1218.5
596.5,359.41,1188.058969072165,1218.2
596.58,358.37,1187.4738144329897,1217.6
596.51,358.25,1187.181237113402,1217.3
596.49,357.34,1186.6936082474226,1216.8
596.85,355.63,1186.2059793814433,1216.3
597.0,355.28,1185.718350515464,1215.8
597.13,353.71,1185.1331958762887,1215.2
597.15,353.17,1184.5480412371132,1214.6
597.33,351.5,1184.1579381443298,1214.2
597.17,352.33,1183.4752577319587,1213.5
597.15,350.15,1182.9876288659793,1213.0
597.21,349.85,1182.5,1212.5
597.29,348.25,1182.1098969072164,1212.1
597.32,347.94,1181.719793814433,1211.7
597.43,347.7,1181.622268041237,1211.6
597.44,347.75,1181.2321649484536,1211.2
597.63,345.61,1181.0371134020618,1211.0
597.71,345.58,1180.939587628866,1210.9
597.75,345.01,1180.6470103092781,1210.6
597.95,343.91,1180.5494845360824,1210.5
598.01,343.11,1180.4519587628868,1210.4
598.48,341.16,1180.4519587628868,1210.4
598.36,340.85,1180.3544329896906,1210.3
598.5,340.09,1180.256907216495,1210.2
598.55,340.09,1180.0618556701031,1210.0
598.82,338.98,1180.256907216495,1210.2
599.01,337.66,1180.3544329896906,1210.3
598.9,338.15,1180.3544329896906,1210.3
599.0,337.54,1180.3544329896906,1210.3
598.88,337.21,1180.256907216495,1210.2
598.92,337.29,1180.1593814432988,1210.1
599.15,335.48,1180.4519587628868,1210.4
599.01,335.76,1180.4519587628868,1210.4
599.11,335.03,1180.5494845360824,1210.5
599.25,333.94,1180.5494845360824,1210.5
599.32,333.93,1180.7445360824743,1210.7
599.5,333.3,1180.7445360824743,1210.7
599.87,331.58,1180.84206185567,1210.8
599.95,331.29,1180.84206185567,1210.8
600.08,330.93,1181.0371134020618,1211.0
600.31,329.9,1180.939587628866,1210.9
600.06,329.86,1181.2321649484536,1211.2
600.17,329.08,1181.3296907216495,1211.3
600.09,328.85,1181.1346391752577,1211.1
600.45,326.83,1181.3296907216495,1211.3
600.46,326.62,1181.3296907216495,1211.3
600.47,326.18,1181.3296907216495,1211.3
600.52,325.83,1181.524742268041,1211.5
600.12,326.66,1181.524742268041,1211.5
600.17,325.82,1181.3296907216495,1211.3
600.52,324.04,1181.3296907216495,1211.3
600.27,325.13,1181.524742268041,1211.5
600.41,323.65,1181.3296907216495,1211.3
600.49,323.42,1181.2321649484536,1211.2
600.44,323.44,1181.3296907216495,1211.3
600.55,322.08,1181.1346391752577,1211.1
600.61,321.88,1181.2321649484536,1211.2
600.44,322.36,1181.2321649484536,1211.2
600.61,320.78,1181.1346391752577,1211.1
600.55,320.7,1181.1346391752577,1211.1
600.52,320.02,1181.2321649484536,1211.2
600.53,318.95,1181.2321649484536,1211.2
600.48,318.4,1181.1346391752577,1211.1
600.53,318.38,1181.2321649484536,1211.2
600.51,317.96,1181.1346391752577,1211.1
600.55,317.41,1181.2321649484536,1211.2
600.5,317.5,1181.0371134020618,1211.0
600.56,316.6,1181.1346391752577,1211.1
600.4,316.82,1181.0371134020618,1211.0
600.25,316.06,1180.84206185567,1210.8
599.92,316.47,1180.84206185567,1210.8
599.83,316.78,1180.5494845360824,1210.5
599.8,317.14,1180.5494845360824,1210.5
599.7,316.76,1180.3544329896906,1210.3
599.95,314.84,1180.3544329896906,1210.3
599.93,315.12,1179.7692783505154,1209.7
599.97,314.17,1179.7692783505154,1209.7
599.96,313.12,1179.4767010309279,1209.4
599.65,313.91,1179.281649484536,1209.2
599.57,313.7,1179.0865979381442,1209.0
599.7,312.89,1179.0865979381442,1209.0
599.8,313.21,1179.0865979381442,1209.0
599.83,312.94,1178.9890721649485,1208.9
599.94,311.98,1178.9890721649485,1208.9
599.87,311.21,1178.8915463917524,1208.8
599.66,311.65,1178.8915463917524,1208.8
599.65,311.89,1178.8915463917524,1208.8
599.88,311.12,1178.598969072165,1208.5
