X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
590.19	261.39	0.62391	455.66	187.45	0.9837	554.96	483.6	0.81514	597	355.28	0.82907	618.73	154.12	0.80325	444.02	602.29	0.54234
590.54	260.39	0.62391	458.95	187.93	0.9837	555.54	483.65	0.81514	597.13	353.71	0.82907	618.79	154.12	0.80325	449.27	603.2	0.54234
591.83	258.25	0.62391	461.96	188.39	0.9837	555.27	483.38	0.81514	597.15	353.17	0.82907	618.66	153.71	0.80325	452.81	603.02	0.54234
591.79	258.24	0.62391	465.47	189.11	0.9837	554.17	483.28	0.81514	597.33	351.5	0.82907	617.99	153.26	0.80325	456.45	602.82	0.54234
592.8	257.03	0.62391	468.75	189.8	0.9837	555.64	483.33	0.81514	597.17	352.33	0.82907	616.16	152.47	0.80325	460.1	602.61	0.54234
595.03	254.61	0.62391	471.53	190.25	0.9837	555.15	483.14	0.81514	597.15	350.15	0.82907	613.93	152.9	0.80325	463.74	602.66	0.54234
595.71	253.93	0.62391	474.93	191	0.9837	554.21	482.95	0.81514	597.21	349.85	0.82907	611.34	150.88	0.80325	467.97	603.16	0.54234
595.91	253.7	0.62391	477.19	191.46	0.9837	555.13	482.94	0.81514	597.29	348.25	0.82907	610.13	150.14	0.80325	471.08	603.58	0.54234
596.63	252.97	0.62391	479.47	191.98	0.9837	555.16	482.79	0.81514	597.32	347.94	0.82907	610.71	150.19	0.80325	475.85	604.82	0.54234
597.67	251.82	0.62391	481.21	192.29	0.9837	554.57	482.56	0.81514	597.43	347.7	0.82907	611.12	150.23	0.80325	481.35	605.56	0.54234
599.17	249.17	0.62391	482.89	192.57	0.9837	554.62	482.44	0.81514	597.44	347.75	0.82907	612.76	150.51	0.80325	484.64	604.8	0.54234
599.93	246.89	0.62391	485.47	193.17	0.9837	554.33	482.16	0.81514	597.63	345.61	0.82907	614.78	151.85	0.80325	488.93	604.18	0.54234
600.78	244.61	0.62391	486.9	193.4	0.9837	554.98	482.2	0.81514	597.71	345.58	0.82907	616.56	154.93	0.80325	493.75	603.87	0.54234
601.54	242.54	0.62391	488.66	193.83	0.9837	555.03	482.16	0.81514	597.75	345.01	0.82907	617.51	158.2	0.80325	497.87	603.87	0.54234
602.61	240.79	0.62391	489.83	194.09	0.9837	554.93	482.17	0.81514	597.95	343.91	0.82907	617.15	160.67	0.80325	503.55	604.49	0.54234
603.13	240.08	0.62391	491.2	194.32	0.9837	554.66	482.11	0.81514	598.01	343.11	0.82907	618.08	164.08	0.80325	507.1	604.8	0.54234
604.36	238.27	0.62391	492.99	194.77	0.9837	554.65	482	0.81514	598.48	341.16	0.82907	619.08	167.37	0.80325	511.86	605.61	0.54234
605.49	236.56	0.62391	494.79	195.05	0.9837	554.99	481.94	0.81514	598.36	340.85	0.82907	620.78	171.51	0.80325	516.16	606.5	0.54234
606.24	235.45	0.62391	495.67	195.15	0.9837	555.2	481.75	0.81514	598.5	340.09	0.82907	621.41	175.17	0.80325	519.11	606.66	0.54234
607.2	233.83	0.62391	497.22	195.45	0.9837	555.09	481.68	0.81514	598.55	340.09	0.82907	621.2	177.48	0.80325	523.34	607.12	0.54234
608.78	231.49	0.62391	497.68	195.56	0.9837	554.39	481.61	0.81514	598.82	338.98	0.82907	620.79	179.94	0.80325	525.25	606.74	0.54234
608.87	230.28	-2	499.9	195.85	0.9837	554.37	481.56	0.81514	599.01	337.66	0.82907	620.83	183.21	-2	528.93	606.65	0.54234
608.96	229.07	-2	500.4	195.83	0.9837	554.44	481.52	0.81514	598.9	338.15	0.82907	620.86	186.47	-2	532.58	606.87	0.54234
609.06	227.85	-2	501.68	196.12	0.9837	554.71	481.46	0.81514	599	337.54	0.82907	620.89	189.74	-2	535.83	606.83	0.54234
609.15	226.64	-2	502.12	196.11	0.9837	555.6	481.42	0.81514	598.88	337.21	0.82907	620.93	193	-2	538.99	607.16	0.54234
609.24	225.43	-2	502.83	196.2	0.9837	554.84	481.12	0.81514	598.92	337.29	0.82907	623	196	-2	541.88	607.38	0.54234
609.33	224.21	-2	503.88	196.46	0.9837	555.18	481.09	0.81514	599.15	335.48	0.82907	622.93	199.28	-2	543.78	607.6	0.54234
609.46	223.26	-2	505.2	196.97	0.9837	555.03	481.03	0.81514	599.01	335.76	0.82907	622.97	202.37	-2	546.03	608.41	0.54234
609.58	222.31	-2	507.12	196.88	0.9837	555.2	480.92	0.81514	599.11	335.03	0.82907	623	205.46	-2	548.08	609.36	0.54234
609.71	221.35	-2	510.16	196.07	0.9837	555.01	480.74	0.81514	599.25	333.94	0.82907	623.04	208.55	-2	549.52	609.71	0.54234
609.83	220.4	-2	512.67	195.04	0.9837	554.88	480.57	0.81514	599.32	333.93	0.82907	623.08	211.65	-2	551.58	610.67	0.54234
609.96	219.44	-2	515.55	193.69	0.9837	554.63	480.51	0.81514	599.5	333.3	0.82907	623.11	214.74	-2	552.73	610.58	0.54234
611	218	-2	518.49	192.34	0.9837	554.41	480.42	0.81514	599.87	331.58	0.82907	625	218	-2	554.56	610.33	0.54234
612	217	-2	521.27	191.14	0.9837	553.57	480.14	0.81514	599.95	331.29	0.82907	624.67	221.06	-2	556.51	609.22	0.54234
612	216	-2	523.9	190.1	0.9837	554.04	479.83	0.81514	600.08	330.93	0.82907	624.33	224.12	-2	559.59	607.79	0.54234
612	215	-2	526.31	189.27	0.9837	553.12	479.77	0.81514	600.31	329.9	0.82907	624	227.17	-2	561.01	605.29	0.54234
610.76	214.58	-2	528.58	188.38	0.9837	552.83	479.61	0.81514	600.06	329.86	0.82907	623.66	230.23	-2	561.89	603.73	0.54234
610.7	213.72	-2	530.92	187.58	0.9837	552.05	479.47	0.81514	600.17	329.08	0.82907	623.33	233.29	-2	561.26	603.35	0.54234
610.83	212.77	-2	533.37	186.8	0.9837	553.5	479.35	0.81514	600.09	328.85	0.82907	623.36	236.38	-2	559.87	604.02	0.54234
610.95	211.81	-2	535.71	186.07	0.9837	552.99	479.14	0.81514	600.45	326.83	0.82907	623.4	239.47	-2	558.94	605.62	0.54234
611.08	210.86	-2	537.58	185.63	0.9837	553.49	479.19	0.81514	600.46	326.62	0.82907	623.44	242.56	-2	557.19	606.94	0.54234
611.2	209.9	-2	539.69	184.97	0.9837	553.28	479.07	0.81514	600.47	326.18	0.82907	623.47	245.65	-2	555.13	607.72	0.54234
611.32	208.95	-2	541.54	184.41	0.9837	552.11	478.81	0.81514	600.52	325.83	0.82907	623.51	248.75	-2	553.55	607.69	0.54234
611.45	207.99	-1	543.54	183.81	0.9837	552.81	478.7	0.81514	600.12	326.66	0.82907	623.54	251.84	-1	552.4	607.13	0.54234
611	202.38	-2	545.16	183.42	0.9837	553.72	478.53	0.81514	600.17	325.82	0.82907	621.7	258.3	-2	551.11	607.5	0.54234
611.09	201.17	-2	547.12	183	0.9837	553.01	478.42	0.81514	600.52	324.04	0.82907	621.64	261.58	-2	549.99	607.83	0.54234
611.19	199.95	-2	548.81	182.65	0.9837	553.46	478.03	0.81514	600.27	325.13	0.82907	621.67	264.85	-2	549.35	607.26	0.54234
611.28	198.74	-2	550.26	182.35	0.9837	552.46	477.74	0.81514	600.41	323.65	0.82907	621.7	268.11	-2	548.45	607.6	0.54234
611.37	197.53	-2	551.88	181.97	0.9837	553.6	477.49	0.81514	600.49	323.42	0.82907	621.74	271.38	-2	548.04	607.25	0.54234
