X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
1216.3	369.6	0.95773	877	180	-2	864.95	159.2	0.57629	1140.8	615.74	0.99106	887.25	267.55	0.88134	1210.7	492.08	0.97113
1215.8	368.59	0.95773	874	180	-2	861.82	158.79	0.57629	1140.9	615.11	0.99106	886.08	266.6	0.88134	1210.8	491.84	0.97113
1215.2	367.85	0.95773	871	181	-2	859.53	159.09	0.57629	1141.3	613.79	0.99106	884.72	265.41	0.88134	1211.1	491.64	0.97113
1214.6	367.13	0.95773	868	182	-2	857.53	159.56	0.57629	1141.8	613.27	0.99106	882.95	263.22	0.88134	1211.3	491.51	0.97113
1214.2	366.73	0.95773	865.59	182.95	-2	856.35	161.3	0.57629	1144.7	614.56	0.99106	881.52	261.97	0.88134	1209.9	491.51	0.97113
1213.5	365.54	0.95773	863.19	183.85	-2	855.57	163.57	0.57629	1149.2	616.65	0.99106	879.84	260.29	0.88134	1209.3	491.53	0.97113
1213	364.99	0.95773	858.7	184.45	-2	853.67	164.44	0.57629	1153.7	617.98	0.99106	878.32	258.94	0.88134	1209.1	491.18	0.97113
1212.5	363.79	0.95773	854.21	185.05	-2	851.17	163.37	0.57629	1155.4	617.97	0.99106	876.92	257.76	0.88134	1209.7	491.06	0.97113
1212.1	362.17	0.95773	849.73	185.65	-1	849.18	147.6	-1	1156.3	617.45	0.99106	875.46	256.68	0.88134	1210.4	491.07	0.97113
1211.7	361.74	0.95773	849.1	184.75	-1	847.75	148.74	-1	1156.8	616.42	0.99106	873.92	255.43	0.88134	1210	490.86	0.97113
1211.6	361.26	0.95773	846.43	186.11	-1	844.14	150.06	-1	1157.3	615.07	0.99106	872.29	253.9	0.88134	1209.1	490.74	0.97113
1211.2	359.92	0.95773	844.97	186.01	-1	838.61	151.11	-1	1159.6	616.04	0.99106	870.77	252.55	0.88134	1208.4	490.69	0.97113
1211	358.89	0.95773	842.9	186.57	-1	840.74	150.87	-1	1164.1	617.49	0.99106	869.07	250.9	0.88134	1208.3	490.35	0.97113
1210.9	358.15	0.95773	844	191	-2	840.72	160.26	0.49151	1170.2	619.05	0.99106	867.44	249.05	0.88134	1208.1	490.23	0.97113
1210.6	357.76	0.95773	841.48	192.48	-2	838.82	161.52	0.49151	1172.5	619.47	0.99106	865.7	246.81	0.88134	1208.1	490.16	0.97113
1210.5	357.05	0.95773	839.07	193.43	-2	837.03	166.86	0.49151	1174.2	619.54	0.99106	864.3	245	0.88134	1207.9	490.4	0.97113
